employee_id,leave_type_id,start_date,end_date,duration,reason
NL-001,1,2025-03-03,2025-03-07,5,Vacation leave
NL-001,1,2024-10-06,2024-10-09,4,Vacation leave
NL-001,1,2024-12-13,2024-12-17,5,Vacation leave
NL-001,1,2024-10-13,2024-10-16,4,Vacation leave
NL-001,1,2025-01-04,2025-01-08,5,Vacation leave
NL-001,1,2024-11-27,2024-12-01,5,Vacation leave
NL-001,4,2024-11-01,2024-11-03,3,Family bereavement
NL-002,1,2017-09-24,2017-09-27,4,Vacation leave
NL-002,1,2017-05-11,2017-05-12,2,Vacation leave
NL-002,1,2017-10-03,2017-10-05,3,Vacation leave
NL-002,4,2017-10-15,2017-10-18,4,Family bereavement
NL-003,1,2020-05-21,2020-05-25,5,Vacation leave
NL-003,1,2020-08-29,2020-08-31,3,Vacation leave
NL-003,1,2020-11-22,2020-11-23,2,Vacation leave
NL-003,1,2020-09-08,2020-09-10,3,Vacation leave
NL-003,1,2020-09-16,2020-09-21,6,Vacation leave
NL-003,3,2020-10-20,2020-10-25,6,Care for dependent family member
NL-004,1,2022-05-17,2022-05-20,4,Vacation leave
NL-004,1,2022-07-19,2022-07-20,2,Vacation leave
NL-004,1,2022-05-26,2022-05-30,5,Vacation leave
NL-004,2,2022-07-01,2022-07-12,12,Medical - Flu and rest
NL-005,1,2021-05-16,2021-05-18,3,Vacation leave
NL-005,1,2021-05-01,2021-05-05,5,Vacation leave
NL-005,1,2021-06-08,2021-06-13,6,Vacation leave
NL-005,1,2021-04-30,2021-05-01,2,Vacation leave
NL-005,1,2021-05-20,2021-05-24,5,Vacation leave
NL-005,1,2020-12-31,2021-01-04,5,Vacation leave
NL-005,2,2021-02-10,2021-02-21,12,Medical - Flu and rest
NL-005,3,2021-03-22,2021-03-31,10,Care for dependent family member
NL-006,1,2015-06-01,2015-06-03,3,Vacation leave
NL-006,1,2015-10-23,2015-10-26,4,Vacation leave
NL-006,1,2015-07-09,2015-07-14,6,Vacation leave
NL-006,1,2015-10-01,2015-10-05,5,Vacation leave
NL-006,1,2015-10-19,2015-10-21,3,Vacation leave
NL-006,2,2015-07-09,2015-07-20,12,Medical - Flu and rest
NL-007,1,2015-05-14,2015-05-16,3,Vacation leave
NL-007,1,2015-03-15,2015-03-17,3,Vacation leave
NL-007,1,2015-03-29,2015-04-03,6,Vacation leave
NL-007,1,2015-05-08,2015-05-11,4,Vacation leave
NL-008,1,2017-12-20,2017-12-22,3,Vacation leave
NL-008,1,2017-12-08,2017-12-12,5,Vacation leave
NL-008,1,2017-12-21,2017-12-24,4,Vacation leave
NL-008,1,2017-12-15,2017-12-20,6,Vacation leave
NL-009,1,2022-06-06,2022-06-11,6,Vacation leave
NL-009,1,2022-04-08,2022-04-10,3,Vacation leave
