employee_id,leave_type_id,start_date,end_date,duration,reason
NL-001,1,2022-10-28,2022-10-31,4,Vacation
NL-001,1,2022-06-04,2022-06-05,2,Vacation
NL-001,1,2022-10-08,2022-10-11,4,Vacation
NL-001,2,2022-06-20,2022-06-23,4,Medical - Flu
NL-002,1,2022-09-18,2022-09-21,4,Vacation
NL-002,1,2022-07-07,2022-07-08,2,Vacation
NL-002,1,2022-09-04,2022-09-06,3,Vacation
NL-002,2,2022-03-12,2022-03-15,4,Medical - Flu
NL-002,5,2022-10-09,2022-10-10,2,LOP
NL-003,1,2016-10-13,2016-10-15,3,Vacation
NL-003,4,2017-03-18,2017-03-20,3,Family bereavement
NL-004,1,2021-07-05,2021-07-06,2,Vacation
NLI-001,1,2018-01-16,2018-01-19,4,Vacation
NL-005,1,2025-04-28,2025-05-01,4,Vacation
NL-005,1,2025-01-06,2025-01-07,2,Vacation
NL-005,2,2025-01-05,2025-01-08,4,Medical - Flu
NL-005,3,2025-08-01,2025-08-02,2,Care for family
NL-006,1,2025-08-18,2025-08-21,4,Vacation
NL-006,4,2025-06-16,2025-06-17,2,Family bereavement
NL-007,1,2023-05-29,2023-05-31,3,Vacation
NL-007,1,2023-01-16,2023-01-18,3,Vacation
NL-007,2,2022-10-16,2022-10-19,4,Medical - Flu
NL-007,5,2023-03-15,2023-03-15,1,LOP
NL-008,1,2020-09-06,2020-09-08,3,Vacation
NL-009,1,2016-06-14,2016-06-16,3,Vacation
NL-009,1,2016-09-21,2016-09-24,4,Vacation
NL-010,1,2015-05-25,2015-05-26,2,Vacation
NL-010,2,2015-02-12,2015-02-15,4,Medical - Flu
NL-010,4,2015-05-10,2015-05-13,4,Family bereavement
NL-011,1,2016-07-14,2016-07-16,3,Vacation
NL-011,1,2016-03-13,2016-03-15,3,Vacation
NL-012,1,2018-05-04,2018-05-07,4,Vacation
NL-012,1,2018-08-11,2018-08-13,3,Vacation
NL-013,1,2023-02-02,2023-02-04,3,Vacation
NL-013,1,2023-02-18,2023-02-19,2,Vacation
NL-013,1,2022-11-08,2022-11-09,2,Vacation
NL-014,1,2015-06-10,2015-06-12,3,Vacation
