employee_id,project_id,assigned_date,tasks_assigned,tasks_completed,task_quality_score,productivity_score,remarks
NL-003,22,2024-03-01,8,6,2.38,1.78,Performance Improvement Plan
NL-003,22,2024-04-01,3,2,0.92,0.61,Critical Underperformance
NL-003,22,2024-05-01,4,4,1.4,1.4,Performance Improvement Plan
NL-003,22,2024-07-01,3,3,3.44,3.44,Consistently Effective
NL-003,22,2024-08-01,3,2,0.09,0.06,Critical Underperformance
NL-003,22,2024-10-01,4,2,2.98,1.49,Performance Improvement Plan
NL-003,22,2024-11-01,4,3,2.5,1.88,Performance Improvement Plan
NL-003,22,2025-01-01,4,4,4.25,4.25,Outstanding Contributor
NL-010,26,2024-03-01,9,2,2.05,0.46,Critical Underperformance
NL-010,26,2024-04-01,10,7,3.82,2.67,Needs Closer Monitoring
NL-010,26,2024-05-01,3,2,4.1,2.73,Needs Closer Monitoring
NL-010,26,2024-07-01,4,3,2.14,1.6,Performance Improvement Plan
NL-010,26,2024-08-01,7,2,2.8,0.8,Critical Underperformance
NL-010,26,2024-10-01,10,10,2.04,2.04,Needs Closer Monitoring
NL-010,26,2024-11-01,8,8,1.87,1.87,Performance Improvement Plan
NL-010,26,2025-01-01,6,3,2.51,1.25,Performance Improvement Plan
NL-013,12,2024-03-01,7,6,4.51,3.87,Consistently Effective
NL-013,12,2024-04-01,7,6,3.59,3.08,Consistently Effective
NL-013,12,2024-05-01,7,4,0.06,0.03,Critical Underperformance
NL-013,12,2024-07-01,5,4,4.85,3.88,Consistently Effective
NL-013,12,2024-08-01,3,2,3.97,2.65,Needs Closer Monitoring
NL-013,12,2024-10-01,3,2,1.63,1.09,Performance Improvement Plan
NL-013,12,2024-11-01,8,4,4.92,2.46,Needs Closer Monitoring
NL-013,12,2025-01-01,3,2,4.86,3.24,Consistently Effective
NL-015,25,2024-03-01,9,4,4.48,1.99,Performance Improvement Plan
NL-015,25,2024-04-01,9,2,1.15,0.26,Critical Underperformance
NL-015,25,2024-05-01,3,2,4.55,3.03,Consistently Effective
NL-015,25,2024-07-01,4,4,0.92,0.92,Critical Underperformance
NL-015,25,2024-08-01,4,2,3.95,1.98,Performance Improvement Plan
NL-015,25,2024-10-01,4,2,1.13,0.56,Critical Underperformance
NL-015,25,2024-11-01,3,2,1.01,0.67,Critical Underperformance
NL-015,25,2025-01-01,8,7,0.96,0.84,Critical Underperformance
NL-016,28,2024-03-01,3,3,2.29,2.29,Needs Closer Monitoring
NL-016,28,2024-04-01,8,7,2.27,1.99,Performance Improvement Plan
NL-016,28,2024-05-01,8,4,1.97,0.98,Critical Underperformance
NL-016,28,2024-07-01,6,4,4.43,2.95,Needs Closer Monitoring
NL-016,28,2024-08-01,5,5,1.02,1.02,Performance Improvement Plan
NL-016,28,2024-10-01,5,3,2.95,1.77,Performance Improvement Plan
NL-016,28,2024-11-01,9,6,4.75,3.17,Consistently Effective
